,distance,name,popularity,rating,latitude,longitude,category
8,302,Against the Grain,0.9810620126253249,8.7,53.338755,-6.262003,Beer Bar
9,307,Cafe En Seine,0.9826901653860436,7.8,53.338755,-6.262003,Night Club
0,141,Gerard's,0.969722071467337,7.5,53.347777,-6.244239,Coffee Shop
1,151,SPROUT Kitchen,0.9489845468308149,,53.347777,-6.244239,Salad Restaurant
2,171,Dockers,0.9740923762461081,,53.347777,-6.244239,Cocktail Bar
3,173,Drunken Fish,0.9775771944357166,7.6,53.347777,-6.244239,Bar
4,383,Windjammer Bar The,0.9657802279413865,6.5,53.347777,-6.244239,Lounge
5,390,Harbour Master Bar & Restaurant,0.9718929418149619,5.9,53.347777,-6.244239,Arts and Entertainment
6,421,MV Cill Airne,0.9708646348081922,7.6,53.347777,-6.244239,Bar
7,456,As One,0.9308177897112171,,53.347777,-6.244239,Café
8,499,The Pig & Heifer,0.9860607272415665,7.6,53.347777,-6.244239,Café
9,516,The Brew Dock,0.9963723613927847,8.4,53.347777,-6.244239,Bar
0,197,Toners Pub,0.9709788911422776,8.2,53.336074,-6.252825,Beer Bar
1,264,O'Donoghue's,0.9906309806049873,8.6,53.336074,-6.252825,Pub
2,334,KC Peaches,0.9749492987517495,6.6,53.336074,-6.252825,Coffee Shop
3,439,Viking Splash Tours,0.9872318546659431,8.1,53.336074,-6.252825,Tour Provider
4,551,TANG by Yogism,0.9794052957810848,8.8,53.336074,-6.252825,Café
5,629,37 Dawson Street,0.984518266731412,8.1,53.336074,-6.252825,Bar
6,632,The Gallery Café,0.9814619097946242,8.4,53.336074,-6.252825,Café
7,644,Cafe En Seine,0.9826901653860436,7.8,53.336074,-6.252825,Night Club
8,663,Godfather’s Pizza,0.983175754805907,,53.336074,-6.252825,Pizzeria
9,667,Glovers Alley,0.984375446313805,,53.336074,-6.252825,Restaurant
0,146,31 Lennox,0.9374732211716987,,53.330091,-6.268044,Café
1,199,Lower Deck The,0.9586677711445628,6.3,53.330091,-6.268044,Karaoke Bar
2,238,Grove Road,0.9765774515124682,8.5,53.330091,-6.268044,Café
3,254,J O'Connell,0.9701790968036791,8.5,53.330091,-6.268044,Pub
4,257,Richmond,0.9479562398240452,8.6,53.330091,-6.268044,Restaurant
5,261,The Portobello,0.9605244365734525,6.0,53.330091,-6.268044,Pub
6,269,Alma.,0.979262475363478,8.7,53.330091,-6.268044,Café
7,278,Doolally,0.9702076608872005,8.1,53.330091,-6.268044,Indian Restaurant
8,323,Aoki Sushi,0.9404438858579223,7.8,53.330091,-6.268044,Sushi Restaurant
9,334,Brother Hubbard South,0.9820331914650519,8.9,53.330091,-6.268044,Café
0,147,Kingfisher Restaurant,0.9851466765688823,8.3,53.350929,-6.265125,Diner
1,158,Woolshed Baa & Grill,0.9900596989345597,7.5,53.350929,-6.265125,Sports Bar
2,232,Butlers Chocolate Café,0.9696935073838155,7.4,53.350929,-6.265125,Café
3,251,The Parnell Heritage Pub & Grill,0.9830614984718216,7.5,53.350929,-6.265125,Bar
4,264,Gino's Gelato,0.9940872347110743,8.4,53.350929,-6.265125,Gelato Shop
5,275,Starbucks,0.9820046273815305,7.5,53.350929,-6.265125,Coffee Shop
6,278,The Church,0.9956011311377074,8.5,53.350929,-6.265125,Restaurant
7,294,The Black Sheep,0.9845753948984547,8.7,53.350929,-6.265125,Bar
8,299,Writers Lounge,0.9894884172641321,,53.350929,-6.265125,Lounge
9,301,Madigan's,0.9932017481219115,8.4,53.350929,-6.265125,Pub
0,81,The Ivy Dublin,0.9868890856636865,8.3,53.341515,-6.256853,English Restaurant
1,107,Carluccio's,0.9774343740181096,8.1,53.341515,-6.256853,Italian Restaurant
2,141,KC Peaches,0.9924019537833129,7.0,53.341515,-6.256853,Restaurant
3,145,Costa Coffee,0.9921734411151418,6.6,53.341515,-6.256853,Café
4,152,Cafe En Seine,0.9826901653860436,7.8,53.341515,-6.256853,Night Club
5,176,Kehoe's,0.9832614470564712,8.6,53.341515,-6.256853,Lounge
6,197,Coffeeangel,0.9888314433431403,9.0,53.341515,-6.256853,Coffee Shop
7,214,Bunsen,0.9853180610700105,8.9,53.341515,-6.256853,Burger Joint
8,215,McDonald's,0.9988288725756234,6.7,53.341515,-6.256853,Burger Joint
9,221,Tapped,0.9978576937358965,,53.341515,-6.256853,Beer Bar
0,99,41 Bus Stop,0.9887457510925762,,53.348279,-6.254662,Bus Stop
1,128,Shoe Lane Coffee,0.9894598531806107,9.0,53.348279,-6.254662,Café
2,147,O'reilly's Bar & Restaurant,0.9894312890970893,7.5,53.348279,-6.254662,Pub
3,153,The Silver Penny (JD Wetherspoon),0.9958867719729213,7.6,53.348279,-6.254662,Pub
4,228,Pipers Corner,0.9912879545259791,7.1,53.348279,-6.254662,Pub
5,268,J. R. Mahon's,0.9930589277043046,,53.348279,-6.254662,Pub
6,289,Chaplins Bar,0.987003341997772,6.2,53.348279,-6.254662,Bar
7,295,River Bar,0.9954011825530578,6.7,53.348279,-6.254662,Pub
8,329,Xi'an Street Food,0.9936016452912109,,53.348279,-6.254662,Chinese Restaurant
9,330,McDonald's,0.995344054386015,5.8,53.348279,-6.254662,Burger Joint
0,156,Dubliniamo,,,53.35893,-6.280337,Tour Provider
1,242,Dutchess Foods,0.3912993801593876,,53.35893,-6.280337,Bakery
2,321,Clarkes Bakery,0.9325601988060213,8.3,53.35893,-6.280337,Bakery
3,389,Rainbow,0.7249278756891085,,53.35893,-6.280337,Chinese Restaurant
4,396,Roosters Piri Piri,0.2445942471935788,,53.35893,-6.280337,Restaurant
5,468,Nagoya,0.6501471050301351,,53.35893,-6.280337,Asian Restaurant
6,476,The Back Page,0.9669227912822417,8.7,53.35893,-6.280337,Arts and Entertainment
7,479,Peanut World,0.6328087063326573,,53.35893,-6.280337,Snack Place
8,483,Pizza Max,0.9175640549572966,,53.35893,-6.280337,Pizzeria
9,488,McGowan's,0.9494987003341998,6.8,53.35893,-6.280337,Pub
0,23,Milano,0.9683509954583107,6.8,53.344115,-6.237153,Pizzeria
1,71,The South Strand (JD Wetherspoon),0.9860892913250878,,53.344115,-6.237153,Pub
2,107,Cafe Bar H,0.9328172755577138,5.4,53.344115,-6.237153,Bar
3,117,Mackenzie's,0.9542403381987489,7.4,53.344115,-6.237153,Modern European Restaurant
4,133,The Marker Rooftop Bar,0.8918278157045331,8.4,53.344115,-6.237153,Hotel Bar
5,136,The Brasserie at the Marker Hotel restaurant,0.9454426004741638,,53.344115,-6.237153,Modern European Restaurant
6,144,Charlotte Quay,0.9784626810248793,7.7,53.344115,-6.237153,Restaurant
7,180,Caffè Nero,0.9536976206118427,,53.344115,-6.237153,Coffee Shop
8,184,Nutbutter,0.9587820274786484,,53.344115,-6.237153,Restaurant
9,199,Pause Cafe',0.8851438201605302,6.6,53.344115,-6.237153,Café
0,82,Arthur's Pub,0.9805192950384187,8.6,53.343893,-6.280531,Night Club
1,99,Proof Pizza + Punch,0.9624096660858636,,53.343893,-6.280531,Pizzeria
2,173,Dudley's,0.9849181639007113,,53.343893,-6.280531,Pub
3,240,John's Bar & Haberdashery,0.9483561369933445,,53.343893,-6.280531,Bar
4,243,Container Coffee,0.96792253420549,8.8,53.343893,-6.280531,Café
5,271,The Thomas House,0.967465508869148,7.6,53.343893,-6.280531,Pub
