,distance,name,review_count,rating,latitude,longitude,category
16,151.44980060506663,Fresh- The Good Food Market,27,3.0,53.336021,-6.26298,Grocery
17,151.86890023086357,Anseo,42,4.0,53.336021,-6.26298,Pubs
18,152.62768645581954,HappyFood,33,4.5,53.336021,-6.26298,Vegan
19,156.87663242723954,Mcguinness Take Away,7,4.0,53.336021,-6.26298,Fast Food
0,104.5157324104273,Hanlon's,5,4.0,53.359405,-6.276142,Pubs
1,150.26617437079003,Subway,1,4.0,53.359405,-6.276142,Sandwiches
2,171.9853888328808,Phibsboro House,1,4.0,53.359405,-6.276142,Pubs
3,204.79841508019427,Coffee Addiction,4,3.5,53.359405,-6.276142,Coffee & Tea
4,207.97079932607713,Camile Phibsborough,22,3.5,53.359405,-6.276142,Thai
5,209.24343100147883,Tani Japanese Restaurant,1,4.0,53.359405,-6.276142,Japanese
6,222.49329716776288,Domino's Pizza,7,2.5,53.359405,-6.276142,Pizza
7,225.4355924292299,Kung Fu Buffet,9,2.5,53.359405,-6.276142,Chinese
8,226.06637602953583,The Back Page,23,4.5,53.359405,-6.276142,Pubs
9,246.3647712054206,White Moose Cafe,66,3.5,53.359405,-6.276142,Cafes
10,249.85840325216196,Pearl River Chinese Takeaway,2,4.5,53.359405,-6.276142,Fast Food
11,269.2202634876973,Kennedy's Coffee Shop,1,4.0,53.359405,-6.276142,Cafes
12,271.70651801124865,Bohemian House,1,4.0,53.359405,-6.276142,Pubs
13,292.8546660539621,Doyle’s Corner,3,4.5,53.359405,-6.276142,Pubs
14,295.10757598364967,Eddie Rocket's,10,2.0,53.359405,-6.276142,Diners
15,301.64014521438145,The Hut,2,3.0,53.359405,-6.276142,Pubs
16,307.5686588333924,Four Star Pizza,5,2.5,53.359405,-6.276142,Pizza
17,318.34697387881823,Woodstock Café,27,4.0,53.359405,-6.276142,Cafes
18,344.4840165562961,Two Boys Brew,28,4.5,53.359405,-6.276142,Breakfast & Brunch
19,350.9039467916926,McGowans of Phibsboro,25,3.5,53.359405,-6.276142,Dance Clubs
0,67.6598849534689,OCB's Sandwich Bar,1,5.0,53.33796,-6.24153,Cafes
1,73.7813406844916,Café Jago's,1,5.0,53.33796,-6.24153,Cafes
2,77.79966210094436,Estling & Anders,4,3.0,53.33796,-6.24153,Delis
3,124.36059639572008,Oil Can Harrys,15,3.5,53.33796,-6.24153,Brasseries
4,153.37439940978715,The Schoolhouse Bar & Restaurant,62,4.0,53.33796,-6.24153,Gastropubs
5,197.11270515882788,Becky Morgans,5,4.0,53.33796,-6.24153,Pubs
6,215.23179235248145,Salt Cellar Coffee Shop,7,4.0,53.33796,-6.24153,Coffee & Tea
7,217.68039134404722,Mamma Mia,26,4.5,53.33796,-6.24153,Italian
8,254.34137542184803,The Gasworks Bar,33,3.0,53.33796,-6.24153,Pubs
9,272.02000706924736,Osteria Lucio,37,4.0,53.33796,-6.24153,Italian
10,308.10402326437355,Rhubarb Cafe,1,4.0,53.33796,-6.24153,Cafes
11,326.7042803427239,Sprout & Co,5,5.0,53.33796,-6.24153,Salad
12,342.59585018826516,Bon Espresso & News,1,4.0,53.33796,-6.24153,Cafes
13,343.6288813831242,Fudi,6,3.0,53.33796,-6.24153,Salad
14,354.56684572356767,Angelina's Deli,2,3.5,53.33796,-6.24153,Coffee & Tea
15,358.468459276672,Ryan's Beggar's Bush,26,4.0,53.33796,-6.24153,Pubs
16,365.7398468842582,Bondiola Argentina,12,4.5,53.33796,-6.24153,Argentine
17,372.98920645593097,The 51,18,4.0,53.33796,-6.24153,Pubs
18,374.3212969032736,Smyth's,8,4.0,53.33796,-6.24153,Pubs
19,388.3199248152087,The Square Ball,11,4.0,53.33796,-6.24153,Pubs
0,9.4146536502449,Bull & Castle,269,4.0,53.343368,-6.27012,Pubs
1,21.752868114958254,Siri Indian Cuisine,49,4.5,53.343368,-6.27012,Indian
2,33.97208457122625,Leo Burdock,235,4.0,53.343368,-6.27012,Fast Food
3,39.116758924982214,Rosie's Cafe,31,4.0,53.343368,-6.27012,Cafes
4,42.69127799719172,Copper Alley Bistro,46,4.0,53.343368,-6.27012,Brasseries
5,49.047645342974576,Bottega Toffoli,22,4.5,53.343368,-6.27012,Italian
6,55.630719107025485,Shamrocker,1,5.0,53.343368,-6.27012,Pubs
7,60.17837883254418,Darkey Kellys,175,4.5,53.343368,-6.27012,Pubs
8,63.70292289274413,Lord Edward,26,4.5,53.343368,-6.27012,Pubs
9,85.17076061868742,Karma,4,3.0,53.343368,-6.27012,Pubs
10,85.17106674151212,Corks,1,5.0,53.343368,-6.27012,Irish
11,87.0515660609627,Bittersweet Cafe,21,4.5,53.343368,-6.27012,Salad
12,105.78838297748149,Chorus Cafe,11,4.0,53.343368,-6.27012,Cafes
13,115.10862641956619,Café Werburgh,1,3.0,53.343368,-6.27012,Coffee & Tea
14,118.90689042632083,Paramount Hotel,24,3.0,53.343368,-6.27012,Hotels
15,135.28843903408412,La Dolce Vita,26,3.5,53.343368,-6.27012,Italian
16,136.3165093991949,Legends Bar,11,4.0,53.343368,-6.27012,Music Venues
17,141.95799759995148,Piglet Wine Bar,18,4.5,53.343368,-6.27012,Wine Bars
18,151.5690090098418,The West End,9,4.0,53.343368,-6.27012,Cafes
19,174.77969711038196,Toscana Restaurant City Centre,74,4.0,53.343368,-6.27012,Italian
0,20.39281034463814,Delahunt,40,4.5,53.334123,-6.265436,Irish
1,22.197098666507735,Camden Kitchen,61,4.5,53.334123,-6.265436,Modern European
2,23.883788252898967,Dall'Italia Pasta Bar,12,4.0,53.334123,-6.265436,Coffee & Tea
3,25.900061628523883,Tolteca,12,3.0,53.334123,-6.265436,Mexican
4,28.625636625079412,Zaytoon,101,4.0,53.334123,-6.265436,Persian/Iranian
5,30.74512298612003,Cassidy's,15,3.5,53.334123,-6.265436,Pubs
6,32.25957081163792,Pickle Eating House and Bar,50,4.5,53.334123,-6.265436,Indian
7,37.79742836713715,Camden Rotisserie,57,4.0,53.334123,-6.265436,Chicken Wings
8,46.214312595914954,Sprezzatura,7,4.5,53.334123,-6.265436,Italian
9,58.36051104011631,Toni's Diner,1,1.0,53.334123,-6.265436,Fast Food
10,64.03422077040793,Mad Egg,21,4.5,53.334123,-6.265436,Irish
11,88.81144306683589,Cracked Nut,37,4.0,53.334123,-6.265436,Sandwiches
12,89.69577542462231,The Cake Café,82,4.0,53.334123,-6.265436,Cafes
13,93.11549006830671,Doughboys,27,4.0,53.334123,-6.265436,Sandwiches
14,99.60836622606428,Camden Exchange,67,4.0,53.334123,-6.265436,Pubs
15,106.11435765061718,The Bleeding Horse,96,3.5,53.334123,-6.265436,Pubs
16,107.24275373197115,Frankie & Johnnie's Steakhouse,2,2.0,53.334123,-6.265436,Steakhouses
17,107.24275373197115,Neon Asian Street Food,158,4.0,53.334123,-6.265436,Thai
18,116.91353213275121,HappyFood,33,4.5,53.334123,-6.265436,Vegan
19,118.57846041188141,Fontana Cafe,15,3.5,53.334123,-6.265436,Cafes
0,8.334672259718742,Science Gallery Café,19,4.0,53.344304,-6.250427,Pizza
1,68.89658048671832,Camile Pearse Street,16,3.5,53.344304,-6.250427,Thai
2,89.78942556973712,The Lombard,21,3.5,53.344304,-6.250427,Pubs
3,91.34843490453751,Offbeat Donut Co,67,4.5,53.344304,-6.250427,Donuts
4,99.2248963611461,O'Donovan,9,4.5,53.344304,-6.250427,Delis
5,102.86156625791767,Bread 41,26,4.5,53.344304,-6.250427,Cafes
6,104.43556829178947,Lunch!,15,4.5,53.344304,-6.250427,Cafes
7,112.20094092666326,Honey Truffle Kitchen,8,4.5,53.344304,-6.250427,Cafes
8,156.00939083070415,O'Neills Victorian Pub & Townhouse,37,4.0,53.344304,-6.250427,Pubs
9,172.62403157487933,The JCR,1,3.0,53.344304,-6.250427,Sandwiches
10,175.81337857904333,Deli Gold,4,4.5,53.344304,-6.250427,Cafes
11,180.14613599103225,Paella Bar & Co,1,5.0,53.344304,-6.250427,Spanish
12,180.29311805464403,Il Caffè di Napoli,66,4.0,53.344304,-6.250427,Coffee & Tea
13,180.93313169759486,Yellow Cup House,3,4.5,53.344304,-6.250427,Cafes
14,181.3188025013321,Windjammer,10,4.0,53.344304,-6.250427,Pubs
15,232.2891111535049,Westland Cafe,1,1.0,53.344304,-6.250427,Cafes
16,241.86008534623906,Kennedy's,45,4.0,53.344304,-6.250427,Pubs
17,243.70717035158265,The Pavillion,24,4.0,53.344304,-6.250427,Pubs
18,249.66139358281978,Arabica Coffee House,7,3.5,53.344304,-6.250427,Cafes
19,267.932506911673,Cafe Sol,5,3.0,53.344304,-6.250427,Cafes
0,39.48358999569396,Shanahan's On The Green,71,4.5,53.338755,-6.262003,Steakhouses
1,81.77565796051162,Glover’s Alley,16,4.5,53.338755,-6.262003,French
2,83.7263553449916,Perc Up Cafe,4,2.5,53.338755,-6.262003,Cafes
3,84.88270939850115,Citron Restaurant,2,3.5,53.338755,-6.262003,Modern European
4,97.44336599213797,Dandelion,37,2.5,53.338755,-6.262003,Bars
5,106.38199109382353,Eddie Rocket's,2,4.0,53.338755,-6.262003,Diners
6,116.87507660137369,TGI Fridays,29,2.5,53.338755,-6.262003,Bars
7,123.2556977725418,Tuk Tuk Asian Kitchen,2,3.0,53.338755,-6.262003,Thai
8,125.56792060228635,Le centre-ville,4,2.5,53.338755,-6.262003,French
9,128.05763366517044,La Croissanterie,1,3.0,53.338755,-6.262003,Cafes
10,140.03352798808848,Super Macs,1,1.0,53.338755,-6.262003,Irish
11,140.91991971590423,El Gringo Burrito,15,3.5,53.338755,-6.262003,Mexican
12,161.29759077978593,Sinnotts,54,3.5,53.338755,-6.262003,Pubs
13,161.48677657144776,Cafe Nero,5,3.5,53.338755,-6.262003,Cafes
14,167.00584043535565,Jump Juice Bar,3,4.5,53.338755,-6.262003,Juice Bars & Smoothies
15,174.823411002295,Wagamama,115,3.5,53.338755,-6.262003,Asian Fusion
16,175.48873603297696,Cusack's Restaurant,1,2.0,53.338755,-6.262003,British
17,183.55153946480567,Insomnia Coffee Company,12,4.0,53.338755,-6.262003,Coffee & Tea
18,198.31699674099096,Break For The Border,22,2.5,53.338755,-6.262003,Pubs
19,200.9249947253333,9 Below Bar,5,4.0,53.338755,-6.262003,Cocktail Bars
0,8.647837569993312,J2 Grill & Sushi,119,4.0,53.347777,-6.244239,Japanese
1,36.9633834828859,Milano,17,3.0,53.347777,-6.244239,Italian
2,53.20676066490605,Eddie Rocket's,22,3.5,53.347777,-6.244239,Diners
3,60.67159795131198,East Restaurant,18,3.5,53.347777,-6.244239,Asian Fusion
4,137.13901306797686,Gerard’s,2,5.0,53.347777,-6.244239,Cafes
5,158.09966944484592,Drunken Fish,33,4.0,53.347777,-6.244239,Korean
6,159.41730883894664,Il Fornaio,27,3.5,53.347777,-6.244239,Italian
7,165.11581516765693,Chaska,1,5.0,53.347777,-6.244239,Indian
8,168.07369835764658,Caffe Parigi   Parigi by Night,11,4.0,53.347777,-6.244239,Italian
9,169.39036335203042,Oly's Bar And Restaurant,17,4.0,53.347777,-6.244239,Breakfast & Brunch
10,185.5434911896897,Subway,1,5.0,53.347777,-6.244239,Sandwiches
11,188.84952410953898,Musashi IFSC,51,4.5,53.347777,-6.244239,Sushi Bars
12,192.00533114895225,Insomnia Coffee Company,1,4.0,53.347777,-6.244239,Restaurants
13,196.11532696804034,La Corte IFSC,1,5.0,53.347777,-6.244239,Sandwiches
14,200.207285304081,Broadway New York Eatery,13,4.5,53.347777,-6.244239,Pizza
15,211.1010910955387,Lagoona,13,3.5,53.347777,-6.244239,Pubs
16,253.4520037338147,Insomnia CHQ,2,3.5,53.347777,-6.244239,Cafes
17,269.325776526677,TOSS'D Noodles & Salads,26,4.0,53.347777,-6.244239,Thai
18,269.52549122784274,O'Briens,3,4.0,53.347777,-6.244239,Coffee & Tea
19,275.9736934484345,Seven Wonders,10,4.5,53.347777,-6.244239,Bagels
0,130.84650553836312,Pembroke,1,3.0,53.336074,-6.252825,Pubs
1,147.97730812754838,Matt The Thresher,149,4.0,53.336074,-6.252825,Seafood
2,154.06352256858364,Rhubarb Cafe,5,2.5,53.336074,-6.252825,Coffee & Tea
3,172.70734118262214,FX Buckley,80,4.5,53.336074,-6.252825,Steakhouses
4,177.87149989688012,Chez Max,54,4.0,53.336074,-6.252825,French
5,179.88720143385194,The Pembroke,1,3.0,53.336074,-6.252825,Cocktail Bars
6,182.92375584774246,Dax Restaurant,29,4.5,53.336074,-6.252825,French
7,185.8047670935456,Toners Pub,38,4.0,53.336074,-6.252825,Pubs
8,189.4805149130781,Pablo Picante,68,3.5,53.336074,-6.252825,Mexican
9,190.60073219314427,Cirillo's,34,4.0,53.336074,-6.252825,Italian
10,191.85373636662743,Brookwood,55,4.5,53.336074,-6.252825,Seafood
11,203.7911259394519,Yum Thai,6,4.5,53.336074,-6.252825,Thai
12,207.58025990564454,Ismal,2,3.0,53.336074,-6.252825,Kebab
13,207.80837021065912,Sushi King ,9,4.0,53.336074,-6.252825,Sushi Bars
14,210.36415351839767,Voilà,19,4.5,53.336074,-6.252825,Breakfast & Brunch
15,213.43069744224195,Munchies,7,3.0,53.336074,-6.252825,Coffee & Tea
16,216.27317071897232,Chopped,30,3.5,53.336074,-6.252825,Salad
17,218.10533348310466,Gerards Deli,2,3.5,53.336074,-6.252825,Delis
