,name,latitude,longitude,review_count,rating_avg,distance_avg,category
142,Butlers Chocolate Café,53.350929,-6.265125,,3.7,232.0,Café
143,The Parnell Heritage Pub & Grill,53.350929,-6.265125,,3.75,251.0,Bar
144,Gino's Gelato,53.350929,-6.265125,,4.2,264.0,Gelato Shop
145,Starbucks,53.350929,-6.265125,,3.75,275.0,Coffee Shop
146,The Church,53.350929,-6.265125,,4.25,278.0,Restaurant
147,The Black Sheep,53.350929,-6.265125,,4.35,294.0,Bar
149,Madigan's,53.350929,-6.265125,,4.2,301.0,Pub
150,The Ivy Dublin,53.341515,-6.256853,,4.15,81.0,English Restaurant
151,Carluccio's,53.341515,-6.256853,122.0,3.775,112.61159585237095,Coffee & Tea
152,KC Peaches,53.341515,-6.256853,,3.5,141.0,Restaurant
153,Costa Coffee,53.341515,-6.256853,,3.3,145.0,Café
154,Cafe En Seine,53.341515,-6.256853,,3.9,152.0,Night Club
155,Kehoe's,53.341515,-6.256853,,4.3,176.0,Lounge
156,Coffeeangel,53.341515,-6.256853,,4.5,197.0,Coffee Shop
157,Bunsen,53.341515,-6.256853,,4.45,214.0,Burger Joint
158,McDonald's,53.341515,-6.256853,,3.35,215.0,Burger Joint
161,Shoe Lane Coffee,53.348279,-6.254662,,4.5,128.0,Café
162,O'reilly's Bar & Restaurant,53.348279,-6.254662,,3.75,147.0,Pub
163,The Silver Penny (JD Wetherspoon),53.348279,-6.254662,,3.8,153.0,Pub
164,Pipers Corner,53.348279,-6.254662,,3.55,228.0,Pub
166,Chaplins Bar,53.348279,-6.254662,,3.1,289.0,Bar
167,River Bar,53.348279,-6.254662,31.0,3.425,267.27180743135284,Lounges
169,McDonald's,53.348279,-6.254662,,2.9,330.0,Burger Joint
172,Clarkes Bakery,53.35893,-6.280337,,4.15,321.0,Bakery
176,The Back Page,53.35893,-6.280337,23.0,4.425,480.65001248443605,Pubs
179,McGowan's,53.35893,-6.280337,,3.4,488.0,Pub
180,Milano,53.344115,-6.237153,51.0,3.2,20.40947968449462,Italian
182,Cafe Bar H,53.344115,-6.237153,,2.7,107.0,Bar
183,Mackenzie's,53.344115,-6.237153,8.0,3.85,110.11130909741934,Pizza
184,The Marker Rooftop Bar,53.344115,-6.237153,,4.2,133.0,Hotel Bar
186,Charlotte Quay,53.344115,-6.237153,18.0,4.175,143.2951949410787,Cocktail Bars
188,Nutbutter,53.344115,-6.237153,11.0,4.5,131.62110481099094,Wine Bars
189,Pause Cafe',53.344115,-6.237153,,3.3,199.0,Café
190,Arthur's Pub,53.343893,-6.280531,82.0,4.15,85.84899737650787,Bars
194,Container Coffee,53.343893,-6.280531,4.0,4.7,244.1002799716185,Cafes
195,The Thomas House,53.343893,-6.280531,,3.8,271.0,Pub
197,The Brazen Head,53.343893,-6.280531,,4.45,303.0,Bar
198,Urbanity Coffee,53.343893,-6.280531,,4.65,340.0,Café
199,Roe & Co Distillery,53.343893,-6.280531,,3.95,344.0,Distillery
201,Wuff,53.347477,-6.28525,120.0,4.425,187.075578942957,Breakfast & Brunch
202,Fish Shop - Benburb Street,53.347477,-6.28525,,4.3,220.0,Bar
203,PHX Bistro,53.347477,-6.28525,,4.5,255.0,Wine Bar
205,Token,53.347477,-6.28525,20.0,4.425,332.80661845915074,Bars
206,Pifko Bar,53.347477,-6.28525,,3.85,368.0,Pub
208,Proper Order Coffee Co.,53.347477,-6.28525,,4.0,380.0,Café
220,Pause Cafe',53.344153,-6.233451,,3.3,54.0,Café
221,Mackenzie's,53.344153,-6.233451,8.0,3.85,136.76107020202932,Pizza
223,BrewDog Outpost Dublin,53.344153,-6.233451,,3.8,214.0,Beer Bar
224,Milano,53.344153,-6.233451,51.0,3.2,240.83384136287688,Italian
226,Windmill Lane Recording Studios,53.344153,-6.233451,,3.75,251.0,Recording Studio
227,Charlotte Quay,53.344153,-6.233451,18.0,4.175,271.1245039809766,Cocktail Bars
228,Herbstreet,53.344153,-6.233451,167.0,4.1,287.26114784766617,Cafes
230,Charlemont Bar & Bistro,53.334295,-6.258503,,3.1,386.0,Hotel Bar
231,Dicey's Garden,53.334295,-6.258503,,3.7,401.0,Night Club
232,Devitt's Pub,53.334295,-6.258503,,3.9,482.0,Pub
233,Brother Hubbard South,53.334295,-6.258503,,4.45,496.0,Café
235,Meet Me In The Morning,53.334295,-6.258503,,4.2,523.0,Coffee Shop
236,Viking Splash Tours,53.334295,-6.258503,,4.05,525.0,Tour Provider
237,O'Donoghue's,53.334295,-6.258503,,4.3,531.0,Pub
238,Whelan's,53.334295,-6.258503,,4.3,534.0,Concert Hall
239,One Kinda Folk,53.334295,-6.258503,,4.0,534.0,Coffee Shop
